STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,GEO_PICT,Pacific Island Countries and territories,INDICATOR,Indicator,SEX,Sex,AGE,Age,URBANIZATION,Urbanization,DISABILITY,Disability,LABEMP_STATUS,Labour and employment status,TIME_PERIOD,Time,OBS_VALUE,Observation value,UNIT_MEASURE,Unit of measure,UNIT_MULT,Unit multiplier,OBS_STATUS,Observation Status,DATA_SOURCE,Data source,OBS_COMMENT,Comment,CONF_STATUS,Confidentiality status
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,FM,Micronesia (Federated States of),LABEMPAF,Number of persons by professional status,M,Male,_T,All ages,_T,National,_T,No breakdown by disability,U,Unemployed,2013,,2698,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,MH,Marshall Islands,LABEMPAF,Number of persons by professional status,M,Male,Y15T24,15-24,U,Urban,_T,No breakdown by disability,_T,All labour and employment statuses,2011,,3932,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,MH,Marshall Islands,LABEMPAF,Number of persons by professional status,M,Male,Y15T24,15-24,U,Urban,_T,No breakdown by disability,_T,All labour and employment statuses,2019,,3301,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,FM,Micronesia (Federated States of),LABEMPAF,Number of persons by professional status,_T,Total,Y55T64,55-64,U,Urban,_T,No breakdown by disability,1,Employees,2013,,1204,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,KI,Kiribati,LABEMPRF,Proportion of persons by professional status,_T,Total,Y65T999,65+,U,Urban,PWD,Persons without disability,1,Employees,2015,,6.22,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,KI,Kiribati,LABEMPRF,Proportion of persons by professional status,_T,Total,Y65T999,65+,U,Urban,PWD,Persons without disability,1,Employees,2019,,6.56,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,TV,Tuvalu,LABEMPRF,Proportion of persons by professional status,M,Male,Y25T54,25-54,_T,National,PD,Persons with disability,E,Employed,2017,,18.6,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,PW,Palau,LABEMPRF,Proportion of persons by professional status,F,Female,Y15T24,15-24,_T,National,_T,No breakdown by disability,1,Employees,2013,,21.21,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,PW,Palau,LABEMPRF,Proportion of persons by professional status,F,Female,Y15T24,15-24,_T,National,_T,No breakdown by disability,1,Employees,2015,,20.74,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,VU,Vanuatu,LABEMPAF,Number of persons by professional status,_T,Total,Y25T54,25-54,R,Rural,_T,No breakdown by disability,U,Unemployed,2019,,3548,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,TO,Tonga,LABEMPRF,Proportion of persons by professional status,_T,Total,Y15T24,15-24,U,Urban,PD,Persons with disability,O,Outside Labour Force,2016,,76.79,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,TO,Tonga,LABEMPRF,Proportion of persons by professional status,_T,Total,Y15T24,15-24,U,Urban,PD,Persons with disability,O,Outside Labour Force,2018,,85.25,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,TV,Tuvalu,LABEMPRF,Proportion of persons by professional status,_T,Total,_T,All ages,_T,National,_T,No breakdown by disability,E,Employed,2015,,36.36,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,TV,Tuvalu,LABEMPRF,Proportion of persons by professional status,_T,Total,_T,All ages,_T,National,_T,No breakdown by disability,E,Employed,2017,,33.75,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,PW,Palau,LABEMPRF,Proportion of persons by professional status,M,Male,Y25T54,25-54,_T,National,PWD,Persons without disability,1,Employees,2015,,85.12,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,KI,Kiribati,LABEMPRF,Proportion of persons by professional status,F,Female,Y25T54,25-54,U,Urban,PD,Persons with disability,3,Own-account workers,2015,,11.16,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,PW,Palau,LABEMPAF,Number of persons by professional status,_T,Total,_T,All ages,U,Urban,PWD,Persons without disability,O,Outside Labour Force,2015,,3564,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,TV,Tuvalu,LABEMPRF,Proportion of persons by professional status,M,Male,Y65T999,65+,R,Rural,_T,No breakdown by disability,_T,All labour and employment statuses,2015,,100,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,TV,Tuvalu,LABEMPRF,Proportion of persons by professional status,M,Male,Y65T999,65+,R,Rural,_T,No breakdown by disability,_T,All labour and employment statuses,2017,,100,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,MH,Marshall Islands,LABEMPRF,Proportion of persons by professional status,F,Female,_T,All ages,_T,National,_T,No breakdown by disability,3,Own-account workers,2011,,7.84,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,MH,Marshall Islands,LABEMPRF,Proportion of persons by professional status,F,Female,_T,All ages,_T,National,_T,No breakdown by disability,3,Own-account workers,2019,,4.03,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,TO,Tonga,LABEMPRF,Proportion of persons by professional status,_T,Total,Y25T54,25-54,_T,National,PD,Persons with disability,1,Employees,2016,,26.41,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,TO,Tonga,LABEMPRF,Proportion of persons by professional status,_T,Total,Y25T54,25-54,_T,National,PD,Persons with disability,1,Employees,2018,,20.4,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,TO,Tonga,LABEMPRF,Proportion of persons by professional status,_T,Total,Y25T54,25-54,_T,National,PD,Persons with disability,1,Employees,2021,,18.18,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,PW,Palau,LABEMPRF,Proportion of persons by professional status,_T,Total,Y65T999,65+,U,Urban,_T,No breakdown by disability,O,Outside Labour Force,2013,,82.65,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,PW,Palau,LABEMPRF,Proportion of persons by professional status,_T,Total,Y65T999,65+,U,Urban,_T,No breakdown by disability,O,Outside Labour Force,2015,,80.91,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,VU,Vanuatu,LABEMPAF,Number of persons by professional status,_T,Total,Y25T54,25-54,_T,National,_T,No breakdown by disability,_T,All labour and employment statuses,2019,,102319,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,MH,Marshall Islands,LABEMPRF,Proportion of persons by professional status,F,Female,Y55T64,55-64,U,Urban,_T,No breakdown by disability,E,Employed,2011,,27.71,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,MH,Marshall Islands,LABEMPRF,Proportion of persons by professional status,F,Female,Y55T64,55-64,U,Urban,_T,No breakdown by disability,E,Employed,2019,,26.71,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,TO,Tonga,LABEMPRF,Proportion of persons by professional status,_T,Total,Y25T54,25-54,U,Urban,PD,Persons with disability,E,Employed,2016,,44.16,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,TO,Tonga,LABEMPRF,Proportion of persons by professional status,_T,Total,Y25T54,25-54,U,Urban,PD,Persons with disability,E,Employed,2021,,40.74,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,TO,Tonga,LABEMPRF,Proportion of persons by professional status,_T,Total,Y65T999,65+,R,Rural,PWD,Persons without disability,O,Outside Labour Force,2016,,78.37,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,TO,Tonga,LABEMPRF,Proportion of persons by professional status,_T,Total,Y65T999,65+,R,Rural,PWD,Persons without disability,O,Outside Labour Force,2018,,70.03,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,TO,Tonga,LABEMPRF,Proportion of persons by professional status,_T,Total,Y65T999,65+,R,Rural,PWD,Persons without disability,O,Outside Labour Force,2021,,84.28,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,FM,Micronesia (Federated States of),LABEMPRF,Proportion of persons by professional status,M,Male,Y25T54,25-54,R,Rural,_T,No breakdown by disability,_T,All labour and employment statuses,2013,,100,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,TO,Tonga,LABEMPRF,Proportion of persons by professional status,F,Female,Y25T54,25-54,R,Rural,_T,No breakdown by disability,2,Employers,2016,,0.76,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,TO,Tonga,LABEMPRF,Proportion of persons by professional status,F,Female,Y25T54,25-54,R,Rural,_T,No breakdown by disability,2,Employers,2018,,3.33,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,TO,Tonga,LABEMPRF,Proportion of persons by professional status,F,Female,Y25T54,25-54,R,Rural,_T,No breakdown by disability,2,Employers,2021,,0.93,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,TV,Tuvalu,LABEMPAF,Number of persons by professional status,_T,Total,Y55T64,55-64,U,Urban,PWD,Persons without disability,_T,All labour and employment statuses,2017,,544,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,CK,Cook Islands,LABEMPRF,Proportion of persons by professional status,M,Male,Y55T64,55-64,R,Rural,_T,No breakdown by disability,O,Outside Labour Force,2015,,32.81,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,KI,Kiribati,LABEMPRF,Proportion of persons by professional status,M,Male,Y25T54,25-54,R,Rural,_T,No breakdown by disability,O,Outside Labour Force,2015,,32.07,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,KI,Kiribati,LABEMPRF,Proportion of persons by professional status,M,Male,Y25T54,25-54,R,Rural,_T,No breakdown by disability,O,Outside Labour Force,2019,,54.04,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,TO,Tonga,LABEMPRF,Proportion of persons by professional status,_T,Total,Y15T24,15-24,_T,National,_T,No breakdown by disability,5,Contributing family workers,2016,,2.35,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,TO,Tonga,LABEMPRF,Proportion of persons by professional status,_T,Total,Y15T24,15-24,_T,National,_T,No breakdown by disability,5,Contributing family workers,2018,,2.61,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,TO,Tonga,LABEMPRF,Proportion of persons by professional status,_T,Total,Y15T24,15-24,_T,National,_T,No breakdown by disability,5,Contributing family workers,2021,,2.54,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,KI,Kiribati,LABEMPRF,Proportion of persons by professional status,M,Male,_T,All ages,U,Urban,_T,No breakdown by disability,3,Own-account workers,2015,,5.19,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,KI,Kiribati,LABEMPRF,Proportion of persons by professional status,M,Male,_T,All ages,U,Urban,_T,No breakdown by disability,3,Own-account workers,2019,,2.94,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,KI,Kiribati,LABEMPRF,Proportion of persons by professional status,F,Female,Y55T64,55-64,_T,National,PWD,Persons without disability,5,Contributing family workers,2019,,3.26,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,MH,Marshall Islands,LABEMPRF,Proportion of persons by professional status,F,Female,Y25T54,25-54,U,Urban,_T,No breakdown by disability,O,Outside Labour Force,2011,,66.55,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,MH,Marshall Islands,LABEMPRF,Proportion of persons by professional status,F,Female,Y25T54,25-54,U,Urban,_T,No breakdown by disability,O,Outside Labour Force,2019,,61.5,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,MH,Marshall Islands,LABEMPRF,Proportion of persons by professional status,_T,Total,Y15T24,15-24,R,Rural,PWD,Persons without disability,O,Outside Labour Force,2019,,80.89,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,MH,Marshall Islands,LABEMPAF,Number of persons by professional status,M,Male,Y15T24,15-24,_T,National,PWD,Persons without disability,O,Outside Labour Force,2019,,2967,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,KI,Kiribati,LABEMPRF,Proportion of persons by professional status,M,Male,Y15T24,15-24,U,Urban,PWD,Persons without disability,_T,All labour and employment statuses,2015,,100,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,KI,Kiribati,LABEMPRF,Proportion of persons by professional status,M,Male,Y15T24,15-24,U,Urban,PWD,Persons without disability,_T,All labour and employment statuses,2019,,100,,PERCENT,percent,,,,,,,,,,
