STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,GEO_PICT,Pacific Island Countries and territories,INDICATOR,Indicator,SEX,Sex,AGE,Age,URBANIZATION,Urbanization,DISABILITY,Disability,LABEMP_STATUS,Labour and employment status,TIME_PERIOD,Time,OBS_VALUE,Observation value,UNIT_MEASURE,Unit of measure,UNIT_MULT,Unit multiplier,OBS_STATUS,Observation Status,DATA_SOURCE,Data source,OBS_COMMENT,Comment,CONF_STATUS,Confidentiality status
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,KI,Kiribati,LABEMPRF,Proportion of persons by professional status,F,Female,Y65T999,65+,U,Urban,_T,No breakdown by disability,O,Outside Labour Force,2015,,89.33,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,KI,Kiribati,LABEMPRF,Proportion of persons by professional status,F,Female,Y65T999,65+,U,Urban,_T,No breakdown by disability,O,Outside Labour Force,2019,,87.68,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,VU,Vanuatu,LABEMPRF,Proportion of persons by professional status,_T,Total,_T,All ages,R,Rural,PWD,Persons without disability,E,Employed,2019,,41.64,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,TV,Tuvalu,LABEMPRF,Proportion of persons by professional status,F,Female,Y15T24,15-24,R,Rural,PWD,Persons without disability,_T,All labour and employment statuses,2017,,100,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,MH,Marshall Islands,LABEMPRF,Proportion of persons by professional status,F,Female,_T,All ages,R,Rural,PWD,Persons without disability,O,Outside Labour Force,2019,,75.02,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,PW,Palau,LABEMPRF,Proportion of persons by professional status,F,Female,Y55T64,55-64,R,Rural,PD,Persons with disability,O,Outside Labour Force,2015,,85.71,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,TV,Tuvalu,LABEMPAF,Number of persons by professional status,F,Female,Y15T24,15-24,R,Rural,_T,No breakdown by disability,E,Employed,2015,,54,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,TV,Tuvalu,LABEMPAF,Number of persons by professional status,F,Female,Y15T24,15-24,R,Rural,_T,No breakdown by disability,E,Employed,2017,,29,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,NU,Niue,LABEMPRF,Proportion of persons by professional status,M,Male,Y55T64,55-64,_T,National,PWD,Persons without disability,1,Employees,2017,,48.86,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,TV,Tuvalu,LABEMPRF,Proportion of persons by professional status,M,Male,Y15T24,15-24,U,Urban,_T,No breakdown by disability,U,Unemployed,2015,,8.62,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,TV,Tuvalu,LABEMPRF,Proportion of persons by professional status,M,Male,Y15T24,15-24,U,Urban,_T,No breakdown by disability,U,Unemployed,2017,,21.39,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,TV,Tuvalu,LABEMPAF,Number of persons by professional status,_T,Total,_T,All ages,R,Rural,PD,Persons with disability,E,Employed,2017,,8,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,KI,Kiribati,LABEMPAF,Number of persons by professional status,F,Female,Y55T64,55-64,_T,National,_T,No breakdown by disability,E,Employed,2015,,753,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,KI,Kiribati,LABEMPAF,Number of persons by professional status,F,Female,Y55T64,55-64,_T,National,_T,No breakdown by disability,E,Employed,2019,,869,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,PW,Palau,LABEMPRF,Proportion of persons by professional status,F,Female,Y15T24,15-24,U,Urban,_T,No breakdown by disability,E,Employed,2013,,23.89,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,PW,Palau,LABEMPRF,Proportion of persons by professional status,F,Female,Y15T24,15-24,U,Urban,_T,No breakdown by disability,E,Employed,2015,,23.42,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,FM,Micronesia (Federated States of),LABEMPRF,Proportion of persons by professional status,_T,Total,_T,All ages,R,Rural,_T,No breakdown by disability,U,Unemployed,2013,,5.6,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,VU,Vanuatu,LABEMPAF,Number of persons by professional status,M,Male,_T,All ages,_T,National,PWD,Persons without disability,E,Employed,2019,,45975,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,PW,Palau,LABEMPAF,Number of persons by professional status,M,Male,Y25T54,25-54,R,Rural,PD,Persons with disability,_T,All labour and employment statuses,2015,,17,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,MH,Marshall Islands,LABEMPRF,Proportion of persons by professional status,_T,Total,Y25T54,25-54,U,Urban,PWD,Persons without disability,1,Employees,2019,,53.13,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,TO,Tonga,LABEMPAF,Number of persons by professional status,F,Female,Y15T24,15-24,U,Urban,PWD,Persons without disability,_T,All labour and employment statuses,2016,,2116,,N,units,,,,,,,,,,
