Catch by fleet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All values in metric tonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Albacore,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bigeye,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skipjack,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellowfin,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1997.000000000000,1998.000000000000,1999.000000000000,2000.000000000000,2001.000000000000,2002.000000000000,2003.000000000000,2004.000000000000,2005.000000000000,2006.000000000000,2007.000000000000,2008.000000000000,2009.000000000000,2010.000000000000,2011.000000000000,2012.000000000000,2013.000000000000,2014.000000000000,2015.000000000000,2016.000000000000,2017.000000000000,2018.000000000000,2019.000000000000,2020.000000000000,2021.000000000000,2022.000000000000,2023.000000000000,,1997.000000000000,1998.000000000000,1999.000000000000,2000.000000000000,2001.000000000000,2002.000000000000,2003.000000000000,2004.000000000000,2005.000000000000,2006.000000000000,2007.000000000000,2008.000000000000,2009.000000000000,2010.000000000000,2011.000000000000,2012.000000000000,2013.000000000000,2014.000000000000,2015.000000000000,2016.000000000000,2017.000000000000,2018.000000000000,2019.000000000000,2020.000000000000,2021.000000000000,2022.000000000000,2023.000000000000,,1997.000000000000,1998.000000000000,1999.000000000000,2000.000000000000,2001.000000000000,2002.000000000000,2003.000000000000,2004.000000000000,2005.000000000000,2006.000000000000,2007.000000000000,2008.000000000000,2009.000000000000,2010.000000000000,2011.000000000000,2012.000000000000,2013.000000000000,2014.000000000000,2015.000000000000,2016.000000000000,2017.000000000000,2018.000000000000,2019.000000000000,2020.000000000000,2021.000000000000,2022.000000000000,2023.000000000000,,1997.000000000000,1998.000000000000,1999.000000000000,2000.000000000000,2001.000000000000,2002.000000000000,2003.000000000000,2004.000000000000,2005.000000000000,2006.000000000000,2007.000000000000,2008.000000000000,2009.000000000000,2010.000000000000,2011.000000000000,2012.000000000000,2013.000000000000,2014.000000000000,2015.000000000000,2016.000000000000,2017.000000000000,2018.000000000000,2019.000000000000,2020.000000000000,2021.000000000000,2022.000000000000,2023.000000000000,,1997.000000000000,1998.000000000000,1999.000000000000,2000.000000000000,2001.000000000000,2002.000000000000,2003.000000000000,2004.000000000000,2005.000000000000,2006.000000000000,2007.000000000000,2008.000000000000,2009.000000000000,2010.000000000000,2011.000000000000,2012.000000000000,2013.000000000000,2014.000000000000,2015.000000000000,2016.000000000000,2017.000000000000,2018.000000000000,2019.000000000000,2020.000000000000,2021.000000000000,2022.000000000000,2023.000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.1 All gears,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFA members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,308.000000000000,537.000000000000,423.000000000000,431.000000000000,650.000000000000,605.000000000000,541.000000000000,720.000000000000,796.000000000000,2641.000000000000,1975.000000000000,1277.000000000000,1523.000000000000,745.000000000000,653.000000000000,709.000000000000,773.000000000000,737.000000000000,949.000000000000,916.000000000000,831.000000000000,752.000000000000,798.000000000000,1163.000000000000,1073.000000000000,1075.000000000000,704.000000000000,,808.000000000000,1166.000000000000,890.000000000000,765.000000000000,1307.000000000000,1003.000000000000,1037.000000000000,915.000000000000,793.000000000000,508.000000000000,1029.000000000000,1027.000000000000,727.000000000000,458.000000000000,399.000000000000,561.000000000000,495.000000000000,509.000000000000,785.000000000000,826.000000000000,418.000000000000,325.000000000000,258.000000000000,290.000000000000,361.000000000000,342.000000000000,225.000000000000,,4697.000000000000,1295.000000000000,4398.000000000000,3996.000000000000,501.000000000000,93.000000000000,546.000000000000,178.000000000000,2.000000000000,49.000000000000,8.000000000000,15.000000000000,10.000000000000,4.000000000000,2.000000000000,4.000000000000,3.000000000000,2.000000000000,5.000000000000,3.000000000000,13.000000000000,6.000000000000,7.000000000000,5.000000000000,6.000000000000,18.000000000000,5.000000000000,,1737.000000000000,2154.000000000000,1839.000000000000,1805.000000000000,2821.000000000000,3533.000000000000,3685.000000000000,2387.000000000000,1500.000000000000,1833.000000000000,1392.000000000000,1650.000000000000,1386.000000000000,1358.000000000000,1870.000000000000,1264.000000000000,1342.000000000000,1688.000000000000,2177.000000000000,1735.000000000000,1666.000000000000,1312.000000000000,1951.000000000000,1749.000000000000,1449.000000000000,1453.000000000000,1615.000000000000,,7550.000000000000,5152.000000000000,7550.000000000000,6997.000000000000,5279.000000000000,5234.000000000000,5809.000000000000,4200.000000000000,3091.000000000000,5031.000000000000,4404.000000000000,3969.000000000000,3646.000000000000,2565.000000000000,2924.000000000000,2538.000000000000,2613.000000000000,2936.000000000000,3916.000000000000,3480.000000000000,2928.000000000000,2395.000000000000,3014.000000000000,3207.000000000000,2889.000000000000,2888.000000000000,2549.000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cook Islands,0.000000000000,22.000000000000,56.000000000000,335.000000000000,204.000000000000,656.000000000000,2046.000000000000,2245.000000000000,2460.000000000000,2343.000000000000,2697.000000000000,2225.000000000000,1550.000000000000,2423.000000000000,2182.000000000000,2756.000000000000,1354.000000000000,1206.000000000000,1187.000000000000,1373.000000000000,2567.000000000000,3088.000000000000,2278.000000000000,1194.000000000000,767.000000000000,952.000000000000,216.000000000000,,0.000000000000,0.000000000000,0.000000000000,0.000000000000,1.000000000000,56.000000000000,203.000000000000,394.000000000000,219.000000000000,164.000000000000,239.000000000000,292.000000000000,216.000000000000,318.000000000000,925.000000000000,1624.000000000000,209.000000000000,183.000000000000,150.000000000000,183.000000000000,297.000000000000,198.000000000000,466.000000000000,147.000000000000,568.000000000000,783.000000000000,214.000000000000,,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,16.000000000000,34.000000000000,62.000000000000,31.000000000000,69.000000000000,41.000000000000,53.000000000000,89.000000000000,124.000000000000,135.000000000000,308.000000000000,41.000000000000,137.000000000000,86.000000000000,38.000000000000,71.000000000000,80.000000000000,1821.000000000000,344.000000000000,2849.000000000000,3612.000000000000,2225.000000000000,,0.000000000000,0.000000000000,0.000000000000,0.000000000000,1.000000000000,42.000000000000,177.000000000000,505.000000000000,413.000000000000,263.000000000000,291.000000000000,249.000000000000,196.000000000000,191.000000000000,394.000000000000,693.000000000000,346.000000000000,503.000000000000,339.000000000000,314.000000000000,701.000000000000,620.000000000000,746.000000000000,569.000000000000,936.000000000000,756.000000000000,958.000000000000,,0.000000000000,22.000000000000,56.000000000000,335.000000000000,206.000000000000,770.000000000000,2460.000000000000,3206.000000000000,3123.000000000000,2839.000000000000,3268.000000000000,2819.000000000000,2051.000000000000,3056.000000000000,3636.000000000000,5381.000000000000,1950.000000000000,2029.000000000000,1762.000000000000,1908.000000000000,3636.000000000000,3986.000000000000,5311.000000000000,2254.000000000000,5120.000000000000,6103.000000000000,3613.000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,1842.000000000000,2121.000000000000,2278.000000000000,6066.000000000000,7973.000000000000,8026.000000000000,6881.000000000000,11289.000000000000,11503.000000000000,11802.000000000000,7146.000000000000,9614.000000000000,12516.000000000000,9253.000000000000,10538.000000000000,10203.000000000000,9561.000000000000,7621.000000000000,7855.000000000000,7902.000000000000,10552.000000000000,9624.000000000000,9073.000000000000,6663.000000000000,6438.000000000000,7418.000000000000,6151.000000000000,,409.000000000000,461.000000000000,462.000000000000,686.000000000000,662.000000000000,853.000000000000,888.000000000000,1254.000000000000,720.000000000000,771.000000000000,555.000000000000,670.000000000000,767.000000000000,539.000000000000,1717.000000000000,1587.000000000000,1019.000000000000,1697.000000000000,1183.000000000000,1396.000000000000,1108.000000000000,892.000000000000,1184.000000000000,738.000000000000,483.000000000000,425.000000000000,687.000000000000,,1046.000000000000,522.000000000000,568.000000000000,400.000000000000,509.000000000000,561.000000000000,516.000000000000,518.000000000000,577.000000000000,583.000000000000,535.000000000000,536.000000000000,105.000000000000,153.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,397.000000000000,256.000000000000,498.000000000000,439.000000000000,334.000000000000,436.000000000000,248.000000000000,409.000000000000,219.000000000000,,1056.000000000000,909.000000000000,766.000000000000,2508.000000000000,2167.000000000000,2112.000000000000,2568.000000000000,4249.000000000000,2676.000000000000,2316.000000000000,1806.000000000000,2807.000000000000,3438.000000000000,2600.000000000000,4050.000000000000,3188.000000000000,2200.000000000000,4341.000000000000,3648.000000000000,4702.000000000000,4986.000000000000,2737.000000000000,3834.000000000000,4602.000000000000,2716.000000000000,2179.000000000000,2277.000000000000,,4353.000000000000,4013.000000000000,4074.000000000000,9660.000000000000,11311.000000000000,11552.000000000000,10853.000000000000,17310.000000000000,15476.000000000000,15472.000000000000,10042.000000000000,13627.000000000000,16826.000000000000,12545.000000000000,16305.000000000000,14978.000000000000,12780.000000000000,13659.000000000000,13083.000000000000,14256.000000000000,17144.000000000000,13692.000000000000,14425.000000000000,12439.000000000000,9885.000000000000,10431.000000000000,9334.000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FSM,0.000000000000,0.000000000000,2.000000000000,5.000000000000,3.000000000000,0.000000000000,1.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,39.000000000000,54.000000000000,30.000000000000,300.000000000000,750.000000000000,501.000000000000,1428.000000000000,2039.000000000000,517.000000000000,2069.000000000000,2242.000000000000,509.000000000000,922.000000000000,1472.000000000000,1842.000000000000,,785.000000000000,1422.000000000000,1735.000000000000,2160.000000000000,1786.000000000000,1972.000000000000,2065.000000000000,2226.000000000000,1697.000000000000,634.000000000000,2086.000000000000,1928.000000000000,2895.000000000000,2237.000000000000,2634.000000000000,3535.000000000000,2684.000000000000,4649.000000000000,4317.000000000000,5612.000000000000,5376.000000000000,6098.000000000000,8357.000000000000,8898.000000000000,7680.000000000000,7804.000000000000,4103.000000000000,,4172.000000000000,8303.000000000000,5841.000000000000,12943.000000000000,9784.000000000000,12214.000000000000,19267.000000000000,19296.000000000000,20127.000000000000,7881.000000000000,9777.000000000000,13780.000000000000,18182.000000000000,19129.000000000000,19434.000000000000,28154.000000000000,21561.000000000000,29524.000000000000,44833.000000000000,56991.000000000000,65915.000000000000,97649.000000000000,128302.000000000000,138521.000000000000,115421.000000000000,127787.000000000000,114651.000000000000,,3298.000000000000,4452.000000000000,3305.000000000000,6541.000000000000,6071.000000000000,6423.000000000000,9497.000000000000,6942.000000000000,6478.000000000000,2255.000000000000,3578.000000000000,3717.000000000000,5329.000000000000,4988.000000000000,6686.000000000000,6992.000000000000,5758.000000000000,8036.000000000000,10633.000000000000,12777.000000000000,18040.000000000000,20883.000000000000,31169.000000000000,34679.000000000000,30615.000000000000,30158.000000000000,30704.000000000000,,8255.000000000000,14177.000000000000,10883.000000000000,21649.000000000000,17644.000000000000,20609.000000000000,30830.000000000000,28464.000000000000,28302.000000000000,10770.000000000000,15441.000000000000,19425.000000000000,26445.000000000000,26408.000000000000,28784.000000000000,38981.000000000000,30753.000000000000,42710.000000000000,61211.000000000000,77419.000000000000,89848.000000000000,126699.000000000000,170070.000000000000,182607.000000000000,154638.000000000000,167221.000000000000,151300.000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiribati,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,66.000000000000,200.000000000000,350.000000000000,40.000000000000,6.000000000000,357.000000000000,509.000000000000,690.000000000000,340.000000000000,1136.000000000000,1884.000000000000,986.000000000000,2161.000000000000,1618.000000000000,,366.000000000000,398.000000000000,363.000000000000,214.000000000000,350.000000000000,263.000000000000,242.000000000000,265.000000000000,517.000000000000,211.000000000000,143.000000000000,306.000000000000,1509.000000000000,1865.000000000000,4372.000000000000,2375.000000000000,3584.000000000000,4903.000000000000,3437.000000000000,9340.000000000000,6987.000000000000,10752.000000000000,7701.000000000000,11824.000000000000,9631.000000000000,11299.000000000000,13485.000000000000,,2070.000000000000,4660.000000000000,6399.000000000000,9127.000000000000,3172.000000000000,6177.000000000000,4034.000000000000,4088.000000000000,5215.000000000000,4138.000000000000,12345.000000000000,12682.000000000000,24937.000000000000,27234.000000000000,41980.000000000000,58652.000000000000,60630.000000000000,85261.000000000000,120201.000000000000,133212.000000000000,125101.000000000000,156438.000000000000,197197.000000000000,163021.000000000000,145893.000000000000,158422.000000000000,180431.000000000000,,4363.000000000000,4331.000000000000,3031.000000000000,5386.000000000000,1877.000000000000,3389.000000000000,2619.000000000000,2309.000000000000,3433.000000000000,2373.000000000000,5531.000000000000,6422.000000000000,7555.000000000000,9781.000000000000,13058.000000000000,12733.000000000000,13527.000000000000,23988.000000000000,18627.000000000000,28024.000000000000,26609.000000000000,27260.000000000000,29536.000000000000,32771.000000000000,31565.000000000000,27667.000000000000,39850.000000000000,,6799.000000000000,9389.000000000000,9793.000000000000,14727.000000000000,5399.000000000000,9829.000000000000,6895.000000000000,6662.000000000000,9165.000000000000,6722.000000000000,18019.000000000000,19410.000000000000,34001.000000000000,38946.000000000000,59610.000000000000,74110.000000000000,77781.000000000000,114158.000000000000,142622.000000000000,171085.000000000000,159387.000000000000,194790.000000000000,235570.000000000000,209500.000000000000,188075.000000000000,199549.000000000000,235384.000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshall Islands,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,15.000000000000,10.000000000000,17.000000000000,4.000000000000,17.000000000000,7.000000000000,0.000000000000,0.000000000000,25.000000000000,47.000000000000,33.000000000000,145.000000000000,9.000000000000,54.000000000000,150.000000000000,95.000000000000,,0.000000000000,0.000000000000,0.000000000000,587.000000000000,2098.000000000000,2482.000000000000,3014.000000000000,4666.000000000000,5513.000000000000,3500.000000000000,4546.000000000000,2306.000000000000,3484.000000000000,3819.000000000000,10081.000000000000,4905.000000000000,5173.000000000000,3881.000000000000,2171.000000000000,2902.000000000000,5617.000000000000,4325.000000000000,3793.000000000000,4189.000000000000,5512.000000000000,5487.000000000000,4024.000000000000,,0.000000000000,0.000000000000,0.000000000000,5120.000000000000,26586.000000000000,29424.000000000000,27034.000000000000,32562.000000000000,39997.000000000000,32603.000000000000,48613.000000000000,24450.000000000000,34364.000000000000,41787.000000000000,67356.000000000000,57433.000000000000,60804.000000000000,62281.000000000000,77614.000000000000,49008.000000000000,48640.000000000000,60575.000000000000,75474.000000000000,69056.000000000000,73354.000000000000,71193.000000000000,54400.000000000000,,0.000000000000,0.000000000000,0.000000000000,1853.000000000000,7085.000000000000,7047.000000000000,7827.000000000000,9447.000000000000,10656.000000000000,6246.000000000000,6205.000000000000,6246.000000000000,6117.000000000000,11605.000000000000,13103.000000000000,11704.000000000000,11785.000000000000,9734.000000000000,7087.000000000000,10276.000000000000,12705.000000000000,10360.000000000000,18923.000000000000,11961.000000000000,13724.000000000000,11463.000000000000,11659.000000000000,,0.000000000000,0.000000000000,0.000000000000,7560.000000000000,35769.000000000000,38953.000000000000,37875.000000000000,46675.000000000000,56166.000000000000,42349.000000000000,59364.000000000000,33017.000000000000,43975.000000000000,57228.000000000000,90544.000000000000,74059.000000000000,77769.000000000000,75896.000000000000,86872.000000000000,62211.000000000000,67009.000000000000,75293.000000000000,98335.000000000000,85215.000000000000,92644.000000000000,88293.000000000000,70178.000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nauru,0.000000000000,0.000000000000,0.000000000000,2.000000000000,2.000000000000,2.000000000000,2.000000000000,2.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,46.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,,0.000000000000,0.000000000000,0.000000000000,1.000000000000,6.000000000000,3.000000000000,10.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,135.000000000000,393.000000000000,3267.000000000000,5080.000000000000,4106.000000000000,3573.000000000000,,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,2.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,1.000000000000,1.000000000000,0.000000000000,5.000000000000,3.000000000000,3.000000000000,3.000000000000,3.000000000000,3.000000000000,3.000000000000,6645.000000000000,30081.000000000000,71448.000000000000,87370.000000000000,83846.000000000000,82108.000000000000,,0.000000000000,0.000000000000,0.000000000000,8.000000000000,5.000000000000,2.000000000000,6.000000000000,1.000000000000,0.000000000000,0.000000000000,0.000000000000,2.000000000000,7.000000000000,4.000000000000,6.000000000000,8.000000000000,16.000000000000,16.000000000000,16.000000000000,16.000000000000,16.000000000000,2118.000000000000,2736.000000000000,17390.000000000000,27665.000000000000,18524.000000000000,17290.000000000000,,0.000000000000,0.000000000000,0.000000000000,11.000000000000,13.000000000000,7.000000000000,20.000000000000,3.000000000000,0.000000000000,0.000000000000,0.000000000000,3.000000000000,8.000000000000,4.000000000000,11.000000000000,11.000000000000,19.000000000000,19.000000000000,19.000000000000,19.000000000000,19.000000000000,8898.000000000000,33256.000000000000,92105.000000000000,120115.000000000000,106476.000000000000,102971.000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
