Catch by national waters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All values in metric tonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Albacore,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bigeye,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skipjack,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellowfin,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1997.000000000000,1998.000000000000,1999.000000000000,2000.000000000000,2001.000000000000,2002.000000000000,2003.000000000000,2004.000000000000,2005.000000000000,2006.000000000000,2007.000000000000,2008.000000000000,2009.000000000000,2010.000000000000,2011.000000000000,2012.000000000000,2013.000000000000,2014.000000000000,2015.000000000000,2016.000000000000,2017.000000000000,2018.000000000000,2019.000000000000,2020.000000000000,2021.000000000000,2022.000000000000,2023.000000000000,,1997.000000000000,1998.000000000000,1999.000000000000,2000.000000000000,2001.000000000000,2002.000000000000,2003.000000000000,2004.000000000000,2005.000000000000,2006.000000000000,2007.000000000000,2008.000000000000,2009.000000000000,2010.000000000000,2011.000000000000,2012.000000000000,2013.000000000000,2014.000000000000,2015.000000000000,2016.000000000000,2017.000000000000,2018.000000000000,2019.000000000000,2020.000000000000,2021.000000000000,2022.000000000000,2023.000000000000,,1997.000000000000,1998.000000000000,1999.000000000000,2000.000000000000,2001.000000000000,2002.000000000000,2003.000000000000,2004.000000000000,2005.000000000000,2006.000000000000,2007.000000000000,2008.000000000000,2009.000000000000,2010.000000000000,2011.000000000000,2012.000000000000,2013.000000000000,2014.000000000000,2015.000000000000,2016.000000000000,2017.000000000000,2018.000000000000,2019.000000000000,2020.000000000000,2021.000000000000,2022.000000000000,2023.000000000000,,1997.000000000000,1998.000000000000,1999.000000000000,2000.000000000000,2001.000000000000,2002.000000000000,2003.000000000000,2004.000000000000,2005.000000000000,2006.000000000000,2007.000000000000,2008.000000000000,2009.000000000000,2010.000000000000,2011.000000000000,2012.000000000000,2013.000000000000,2014.000000000000,2015.000000000000,2016.000000000000,2017.000000000000,2018.000000000000,2019.000000000000,2020.000000000000,2021.000000000000,2022.000000000000,2023.000000000000,,1997.000000000000,1998.000000000000,1999.000000000000,2000.000000000000,2001.000000000000,2002.000000000000,2003.000000000000,2004.000000000000,2005.000000000000,2006.000000000000,2007.000000000000,2008.000000000000,2009.000000000000,2010.000000000000,2011.000000000000,2012.000000000000,2013.000000000000,2014.000000000000,2015.000000000000,2016.000000000000,2017.000000000000,2018.000000000000,2019.000000000000,2020.000000000000,2021.000000000000,2022.000000000000,2023.000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.1 All gears,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFA members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia (includes Norfolk Island),1837.000000000000,532.000000000000,420.000000000000,426.000000000000,641.000000000000,592.000000000000,524.000000000000,705.000000000000,779.000000000000,2619.000000000000,1965.000000000000,1272.000000000000,1517.000000000000,745.000000000000,652.000000000000,702.000000000000,757.000000000000,728.000000000000,945.000000000000,911.000000000000,830.000000000000,751.000000000000,796.000000000000,1158.000000000000,1072.000000000000,1075.000000000000,699.000000000000,,1424.000000000000,1155.000000000000,879.000000000000,756.000000000000,1295.000000000000,990.000000000000,1012.000000000000,882.000000000000,770.000000000000,492.000000000000,1021.000000000000,1022.000000000000,724.000000000000,457.000000000000,398.000000000000,556.000000000000,490.000000000000,503.000000000000,783.000000000000,821.000000000000,416.000000000000,323.000000000000,257.000000000000,288.000000000000,361.000000000000,342.000000000000,221.000000000000,,4707.000000000000,1223.000000000000,4398.000000000000,3996.000000000000,501.000000000000,93.000000000000,546.000000000000,178.000000000000,2.000000000000,49.000000000000,8.000000000000,15.000000000000,31.000000000000,4.000000000000,2.000000000000,4.000000000000,3.000000000000,2.000000000000,5.000000000000,3.000000000000,13.000000000000,6.000000000000,7.000000000000,5.000000000000,6.000000000000,18.000000000000,5.000000000000,,3256.000000000000,2143.000000000000,1824.000000000000,1793.000000000000,2799.000000000000,3513.000000000000,3604.000000000000,2342.000000000000,1467.000000000000,1802.000000000000,1383.000000000000,1647.000000000000,1386.000000000000,1353.000000000000,1864.000000000000,1257.000000000000,1334.000000000000,1678.000000000000,2174.000000000000,1723.000000000000,1659.000000000000,1310.000000000000,1949.000000000000,1742.000000000000,1449.000000000000,1453.000000000000,1604.000000000000,,11224.000000000000,5053.000000000000,7521.000000000000,6971.000000000000,5236.000000000000,5188.000000000000,5686.000000000000,4107.000000000000,3018.000000000000,4962.000000000000,4377.000000000000,3956.000000000000,3658.000000000000,2559.000000000000,2916.000000000000,2519.000000000000,2584.000000000000,2911.000000000000,3907.000000000000,3458.000000000000,2918.000000000000,2390.000000000000,3009.000000000000,3193.000000000000,2888.000000000000,2888.000000000000,2529.000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cook Islands,0.000000000000,592.000000000000,24.000000000000,0.000000000000,9.000000000000,1118.000000000000,1807.000000000000,2154.000000000000,2291.000000000000,1993.000000000000,2991.000000000000,2466.000000000000,4632.000000000000,4911.000000000000,5559.000000000000,10627.000000000000,5985.000000000000,4483.000000000000,4556.000000000000,4757.000000000000,3324.000000000000,4717.000000000000,7355.000000000000,3610.000000000000,2318.000000000000,6732.000000000000,6500.000000000000,,8.000000000000,62.000000000000,54.000000000000,50.000000000000,179.000000000000,263.000000000000,260.000000000000,441.000000000000,211.000000000000,152.000000000000,226.000000000000,362.000000000000,557.000000000000,697.000000000000,2231.000000000000,4626.000000000000,1412.000000000000,1175.000000000000,1087.000000000000,949.000000000000,1596.000000000000,1508.000000000000,1455.000000000000,1144.000000000000,673.000000000000,978.000000000000,959.000000000000,,181.000000000000,1.000000000000,132.000000000000,191.000000000000,957.000000000000,3200.000000000000,57.000000000000,88.000000000000,30.000000000000,71.000000000000,37.000000000000,726.000000000000,677.000000000000,341.000000000000,1524.000000000000,11782.000000000000,6737.000000000000,11871.000000000000,15945.000000000000,6133.000000000000,15605.000000000000,30199.000000000000,26596.000000000000,9251.000000000000,1882.000000000000,2629.000000000000,8192.000000000000,,47.000000000000,89.000000000000,73.000000000000,77.000000000000,350.000000000000,612.000000000000,243.000000000000,602.000000000000,395.000000000000,216.000000000000,256.000000000000,305.000000000000,615.000000000000,668.000000000000,1850.000000000000,3722.000000000000,2516.000000000000,2780.000000000000,2989.000000000000,2036.000000000000,3535.000000000000,3644.000000000000,3467.000000000000,2980.000000000000,1625.000000000000,2165.000000000000,2325.000000000000,,236.000000000000,744.000000000000,283.000000000000,318.000000000000,1495.000000000000,5193.000000000000,2367.000000000000,3285.000000000000,2927.000000000000,2432.000000000000,3510.000000000000,3859.000000000000,6481.000000000000,6617.000000000000,11164.000000000000,30757.000000000000,16650.000000000000,20309.000000000000,24577.000000000000,13875.000000000000,24060.000000000000,40068.000000000000,38873.000000000000,16985.000000000000,6498.000000000000,12504.000000000000,17976.000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,2341.000000000000,2521.000000000000,2233.000000000000,5351.000000000000,8014.000000000000,7028.000000000000,4640.000000000000,6500.000000000000,6016.000000000000,5746.000000000000,4159.000000000000,4898.000000000000,6009.000000000000,6396.000000000000,4757.000000000000,4776.000000000000,4162.000000000000,4186.000000000000,6322.000000000000,5329.000000000000,6631.000000000000,6174.000000000000,5872.000000000000,4152.000000000000,4504.000000000000,5837.000000000000,3805.000000000000,,424.000000000000,499.000000000000,509.000000000000,632.000000000000,677.000000000000,716.000000000000,601.000000000000,638.000000000000,348.000000000000,458.000000000000,353.000000000000,398.000000000000,389.000000000000,371.000000000000,485.000000000000,273.000000000000,257.000000000000,347.000000000000,389.000000000000,581.000000000000,617.000000000000,480.000000000000,513.000000000000,387.000000000000,227.000000000000,274.000000000000,418.000000000000,,1047.000000000000,525.000000000000,1060.000000000000,564.000000000000,510.000000000000,555.000000000000,525.000000000000,801.000000000000,820.000000000000,548.000000000000,600.000000000000,856.000000000000,314.000000000000,1189.000000000000,374.000000000000,392.000000000000,129.000000000000,2.000000000000,2212.000000000000,1448.000000000000,1413.000000000000,322.000000000000,289.000000000000,316.000000000000,196.000000000000,351.000000000000,165.000000000000,,1105.000000000000,1115.000000000000,904.000000000000,2505.000000000000,2163.000000000000,1826.000000000000,1968.000000000000,2699.000000000000,1543.000000000000,1304.000000000000,1140.000000000000,1398.000000000000,1642.000000000000,1953.000000000000,1732.000000000000,1413.000000000000,923.000000000000,2476.000000000000,2739.000000000000,3050.000000000000,3475.000000000000,1900.000000000000,2266.000000000000,3261.000000000000,1993.000000000000,1713.000000000000,1729.000000000000,,4917.000000000000,4660.000000000000,4706.000000000000,9052.000000000000,11364.000000000000,10125.000000000000,7734.000000000000,10638.000000000000,8727.000000000000,8056.000000000000,6252.000000000000,7550.000000000000,8354.000000000000,9909.000000000000,7348.000000000000,6854.000000000000,5471.000000000000,7011.000000000000,11662.000000000000,10408.000000000000,12136.000000000000,8876.000000000000,8940.000000000000,8116.000000000000,6920.000000000000,8175.000000000000,6117.000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FSM,83.000000000000,82.000000000000,112.000000000000,140.000000000000,45.000000000000,5.000000000000,73.000000000000,58.000000000000,94.000000000000,142.000000000000,44.000000000000,110.000000000000,58.000000000000,58.000000000000,73.000000000000,169.000000000000,105.000000000000,255.000000000000,160.000000000000,45.000000000000,141.000000000000,490.000000000000,124.000000000000,115.000000000000,200.000000000000,158.000000000000,138.000000000000,,9326.000000000000,7490.000000000000,11860.000000000000,9424.000000000000,7637.000000000000,7469.000000000000,11765.000000000000,13011.000000000000,9194.000000000000,9667.000000000000,8126.000000000000,7494.000000000000,6460.000000000000,6946.000000000000,7273.000000000000,9186.000000000000,7251.000000000000,8394.000000000000,8683.000000000000,8139.000000000000,8307.000000000000,11531.000000000000,6046.000000000000,9670.000000000000,5488.000000000000,6629.000000000000,4301.000000000000,,52223.000000000000,59796.000000000000,130624.000000000000,110210.000000000000,76161.000000000000,57471.000000000000,185325.000000000000,106448.000000000000,181516.000000000000,169555.000000000000,132334.000000000000,107856.000000000000,107454.000000000000,132595.000000000000,120497.000000000000,154162.000000000000,188557.000000000000,113887.000000000000,108320.000000000000,164680.000000000000,149697.000000000000,238932.000000000000,124213.000000000000,147707.000000000000,86217.000000000000,195045.000000000000,66474.000000000000,,29797.000000000000,21305.000000000000,46616.000000000000,26116.000000000000,20851.000000000000,22069.000000000000,38450.000000000000,42660.000000000000,48256.000000000000,33084.000000000000,26192.000000000000,27916.000000000000,19982.000000000000,20771.000000000000,34819.000000000000,25003.000000000000,24608.000000000000,21414.000000000000,55147.000000000000,28096.000000000000,36808.000000000000,47521.000000000000,43275.000000000000,45172.000000000000,28068.000000000000,39866.000000000000,14109.000000000000,,91429.000000000000,88673.000000000000,189212.000000000000,145890.000000000000,104694.000000000000,87014.000000000000,235613.000000000000,162177.000000000000,239060.000000000000,212448.000000000000,166696.000000000000,143376.000000000000,133954.000000000000,160370.000000000000,162662.000000000000,188520.000000000000,220521.000000000000,143950.000000000000,172310.000000000000,200960.000000000000,194953.000000000000,298474.000000000000,173658.000000000000,202664.000000000000,119973.000000000000,241698.000000000000,85022.000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiribati,437.000000000000,840.000000000000,147.000000000000,269.000000000000,729.000000000000,761.000000000000,708.000000000000,474.000000000000,238.000000000000,301.000000000000,679.000000000000,363.000000000000,1123.000000000000,1289.000000000000,550.000000000000,1219.000000000000,820.000000000000,1218.000000000000,2514.000000000000,4292.000000000000,390.000000000000,73.000000000000,1262.000000000000,2700.000000000000,591.000000000000,1665.000000000000,1513.000000000000,,14205.000000000000,10507.000000000000,22686.000000000000,16021.000000000000,21359.000000000000,19133.000000000000,10600.000000000000,14606.000000000000,11750.000000000000,11399.000000000000,16061.000000000000,16767.000000000000,25375.000000000000,16476.000000000000,33872.000000000000,35683.000000000000,26911.000000000000,41648.000000000000,34492.000000000000,25255.000000000000,18710.000000000000,21322.000000000000,19686.000000000000,21318.000000000000,17920.000000000000,18534.000000000000,23097.000000000000,,119191.000000000000,113402.000000000000,89257.000000000000,98796.000000000000,177910.000000000000,276835.000000000000,55165.000000000000,65851.000000000000,157534.000000000000,132581.000000000000,146641.000000000000,154157.000000000000,264518.000000000000,147092.000000000000,146784.000000000000,392870.000000000000,227599.000000000000,582916.000000000000,518225.000000000000,311196.000000000000,269188.000000000000,320260.000000000000,589700.000000000000,271842.000000000000,276744.000000000000,179083.000000000000,473559.000000000000,,70764.000000000000,33387.000000000000,41329.000000000000,37215.000000000000,82121.000000000000,68660.000000000000,24386.000000000000,26407.000000000000,42930.000000000000,32125.000000000000,37850.000000000000,76990.000000000000,42857.000000000000,43186.000000000000,42377.000000000000,130071.000000000000,44191.000000000000,117671.000000000000,93242.000000000000,72852.000000000000,98150.000000000000,60047.000000000000,79760.000000000000,59868.000000000000,61289.000000000000,39033.000000000000,109744.000000000000,,204597.000000000000,158136.000000000000,153419.000000000000,152301.000000000000,282119.000000000000,365389.000000000000,90859.000000000000,107338.000000000000,212452.000000000000,176406.000000000000,201231.000000000000,248277.000000000000,333873.000000000000,208043.000000000000,223583.000000000000,559843.000000000000,299521.000000000000,743453.000000000000,648473.000000000000,413595.000000000000,386438.000000000000,401702.000000000000,690408.000000000000,355728.000000000000,356544.000000000000,238315.000000000000,607913.000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshall Islands,54.000000000000,33.000000000000,198.000000000000,54.000000000000,45.000000000000,17.000000000000,20.000000000000,11.000000000000,32.000000000000,49.000000000000,9.000000000000,42.000000000000,92.000000000000,240.000000000000,111.000000000000,211.000000000000,200.000000000000,180.000000000000,151.000000000000,99.000000000000,141.000000000000,64.000000000000,150.000000000000,30.000000000000,120.000000000000,306.000000000000,247.000000000000,,1057.000000000000,2988.000000000000,3398.000000000000,1352.000000000000,4007.000000000000,3434.000000000000,2592.000000000000,2715.000000000000,2320.000000000000,1963.000000000000,3329.000000000000,3287.000000000000,3041.000000000000,2935.000000000000,4426.000000000000,5247.000000000000,4035.000000000000,7088.000000000000,3453.000000000000,5541.000000000000,4376.000000000000,3346.000000000000,2618.000000000000,3854.000000000000,4242.000000000000,4356.000000000000,3072.000000000000,,3091.000000000000,66577.000000000000,22964.000000000000,29143.000000000000,50297.000000000000,32325.000000000000,2922.000000000000,12934.000000000000,16294.000000000000,13713.000000000000,15639.000000000000,19947.000000000000,11637.000000000000,18811.000000000000,17788.000000000000,24134.000000000000,36195.000000000000,69641.000000000000,25853.000000000000,72675.000000000000,21395.000000000000,28412.000000000000,9916.000000000000,35120.000000000000,42027.000000000000,34277.000000000000,42960.000000000000,,882.000000000000,22422.000000000000,6290.000000000000,3637.000000000000,7478.000000000000,5660.000000000000,1964.000000000000,3443.000000000000,3380.000000000000,3506.000000000000,2958.000000000000,6686.000000000000,2218.000000000000,4299.000000000000,3612.000000000000,4363.000000000000,5910.000000000000,11745.000000000000,8388.000000000000,12579.000000000000,7231.000000000000,5779.000000000000,2881.000000000000,10406.000000000000,20725.000000000000,6362.000000000000,6994.000000000000,,5084.000000000000,92020.000000000000,32850.000000000000,34186.000000000000,61827.000000000000,41436.000000000000,7498.000000000000,19103.000000000000,22026.000000000000,19231.000000000000,21935.000000000000,29962.000000000000,16988.000000000000,26285.000000000000,25937.000000000000,33955.000000000000,46340.000000000000,88654.000000000000,37845.000000000000,90894.000000000000,33143.000000000000,37601.000000000000,15565.000000000000,49410.000000000000,67114.000000000000,45301.000000000000,53273.000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nauru,0.000000000000,0.000000000000,0.000000000000,2.000000000000,2.000000000000,2.000000000000,2.000000000000,2.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,15.000000000000,16.000000000000,16.000000000000,2.000000000000,3.000000000000,0.000000000000,0.000000000000,0.000000000000,3.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,,1414.000000000000,1430.000000000000,3912.000000000000,2738.000000000000,3958.000000000000,7359.000000000000,1368.000000000000,3694.000000000000,2564.000000000000,2019.000000000000,3084.000000000000,2304.000000000000,1841.000000000000,3564.000000000000,9047.000000000000,3565.000000000000,8839.000000000000,8590.000000000000,2829.000000000000,3978.000000000000,3280.000000000000,3917.000000000000,2664.000000000000,7270.000000000000,7615.000000000000,4242.000000000000,2216.000000000000,,11999.000000000000,24646.000000000000,31274.000000000000,45595.000000000000,39643.000000000000,92886.000000000000,14597.000000000000,47619.000000000000,37902.000000000000,44494.000000000000,56911.000000000000,47360.000000000000,50779.000000000000,80600.000000000000,81286.000000000000,39104.000000000000,128632.000000000000,150853.000000000000,51083.000000000000,80091.000000000000,55539.000000000000,144747.000000000000,87582.000000000000,103961.000000000000,108948.000000000000,63780.000000000000,48578.000000000000,,12881.000000000000,16998.000000000000,15502.000000000000,20595.000000000000,23048.000000000000,26594.000000000000,5636.000000000000,13413.000000000000,10228.000000000000,10467.000000000000,8455.000000000000,14746.000000000000,9356.000000000000,25060.000000000000,13703.000000000000,8097.000000000000,27877.000000000000,25341.000000000000,15018.000000000000,35464.000000000000,24312.000000000000,24329.000000000000,15441.000000000000,24394.000000000000,32972.000000000000,12424.000000000000,12691.000000000000,,26294.000000000000,43074.000000000000,50688.000000000000,68930.000000000000,66651.000000000000,126841.000000000000,21603.000000000000,64728.000000000000,50694.000000000000,56980.000000000000,68450.000000000000,64410.000000000000,61976.000000000000,109224.000000000000,104051.000000000000,50782.000000000000,165364.000000000000,184786.000000000000,68933.000000000000,119533.000000000000,83131.000000000000,172993.000000000000,105690.000000000000,135625.000000000000,149535.000000000000,80446.000000000000,63485.000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
