Value of fleet catch in own waters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All values in US$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Albacore,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bigeye,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skipjack,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellowfin,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1997.000000000000,1998.000000000000,1999.000000000000,2000.000000000000,2001.000000000000,2002.000000000000,2003.000000000000,2004.000000000000,2005.000000000000,2006.000000000000,2007.000000000000,2008.000000000000,2009.000000000000,2010.000000000000,2011.000000000000,2012.000000000000,2013.000000000000,2014.000000000000,2015.000000000000,2016.000000000000,2017.000000000000,2018.000000000000,2019.000000000000,2020.000000000000,2021.000000000000,2022.000000000000,2023.000000000000,,1997.000000000000,1998.000000000000,1999.000000000000,2000.000000000000,2001.000000000000,2002.000000000000,2003.000000000000,2004.000000000000,2005.000000000000,2006.000000000000,2007.000000000000,2008.000000000000,2009.000000000000,2010.000000000000,2011.000000000000,2012.000000000000,2013.000000000000,2014.000000000000,2015.000000000000,2016.000000000000,2017.000000000000,2018.000000000000,2019.000000000000,2020.000000000000,2021.000000000000,2022.000000000000,2023.000000000000,,1997.000000000000,1998.000000000000,1999.000000000000,2000.000000000000,2001.000000000000,2002.000000000000,2003.000000000000,2004.000000000000,2005.000000000000,2006.000000000000,2007.000000000000,2008.000000000000,2009.000000000000,2010.000000000000,2011.000000000000,2012.000000000000,2013.000000000000,2014.000000000000,2015.000000000000,2016.000000000000,2017.000000000000,2018.000000000000,2019.000000000000,2020.000000000000,2021.000000000000,2022.000000000000,2023.000000000000,,1997.000000000000,1998.000000000000,1999.000000000000,2000.000000000000,2001.000000000000,2002.000000000000,2003.000000000000,2004.000000000000,2005.000000000000,2006.000000000000,2007.000000000000,2008.000000000000,2009.000000000000,2010.000000000000,2011.000000000000,2012.000000000000,2013.000000000000,2014.000000000000,2015.000000000000,2016.000000000000,2017.000000000000,2018.000000000000,2019.000000000000,2020.000000000000,2021.000000000000,2022.000000000000,2023.000000000000,,1997.000000000000,1998.000000000000,1999.000000000000,2000.000000000000,2001.000000000000,2002.000000000000,2003.000000000000,2004.000000000000,2005.000000000000,2006.000000000000,2007.000000000000,2008.000000000000,2009.000000000000,2010.000000000000,2011.000000000000,2012.000000000000,2013.000000000000,2014.000000000000,2015.000000000000,2016.000000000000,2017.000000000000,2018.000000000000,2019.000000000000,2020.000000000000,2021.000000000000,2022.000000000000,2023.000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.1 All gears,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFA members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,674195.398403374000,1089972.946352350000,802162.315091747000,986972.531251965000,1599996.919142980000,1059592.188155020000,987279.686396885000,1531718.640163740000,1892994.860787960000,7002088.683296560000,3828621.094405340000,3164792.853123210000,4009775.453908730000,1993021.025631410000,1984558.019883860000,2480958.486001040000,1901555.113935500000,2093486.588144950000,2853518.240986200000,2670405.715122670000,2473719.819212360000,2528303.939052650000,3150527.868458790000,4059247.596484710000,3547252.659556180000,3814561.762295140000,2231767.630081160000,,5531482.447495140000,7463951.187643220000,6458077.865378770000,5789459.308075790000,8946213.445776460000,6410219.722410140000,6868714.065861070000,6459392.889030910000,5932933.584662040000,3597064.208992310000,7350315.001725620000,8451883.556007500000,6265636.031683720000,4801966.315278360000,3998690.204420030000,6095007.972245650000,4580896.313904840000,4243723.448330830000,6326381.571870690000,7150156.041103050000,3505280.897330400000,2925202.914378570000,2053079.988115000000,2792809.791603410000,3725771.634537670000,3674903.526781490000,2561302.047053260000,,5307412.822796080000,1214833.055091820000,2868339.945458270000,2140158.461943670000,394749.520813394000,69881.899139402200,382000.304264071000,158229.463432264000,1746.193966801650,44996.995770426300,10550.967773863100,25502.177718945300,11536.414829542600,4967.692374378760,3361.987143621190,8466.297093812010,6206.889439902790,2888.736599946970,5973.942029215740,4255.220128232100,23145.797362402300,9843.294283855540,9806.319979739720,6796.836957944040,8271.601814564840,29600.382503908000,8864.082317322470,,9603688.061635200000,11042582.008218700000,11460066.199860000000,11524990.201671100000,15920790.405660600000,19561258.443504400000,21863365.993650400000,14700138.030553000000,9521144.585798470000,11718811.352423300000,9125291.216564710000,12270541.716794000000,10427386.291950600000,11443454.819587500000,17106064.718457800000,11376836.593936300000,11080451.744417300000,13602746.389091100000,15921669.856854000000,13605045.812484500000,13094394.551562000000,10984242.050602100000,14486090.056895300000,14522948.858846800000,10067851.595306300000,10891647.720186300000,11404295.246137600000,,21116778.730329800000,20811339.197306100000,21588646.325788800000,20441580.502942600000,26861750.291393400000,27100952.253209000000,30101360.050172400000,22849479.023179900000,17348819.225215300000,22362961.240482600000,20314778.280469500000,23912720.303643700000,20714334.192372600000,18243409.852871700000,23092674.929905300000,19961269.349276800000,17569110.061697500000,19942845.162166800000,25107543.611740100000,23429862.788838500000,19096541.065467100000,16447592.198317100000,19699504.233448800000,21381803.083892900000,17349147.491214700000,18410713.391766900000,16206229.005589300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cook Islands,0.000000000000,0.000000000000,0.000000000000,0.000000000000,4992.190075329120,877027.317898582000,2532259.348315670000,4054165.932688720000,5530752.635626940000,5328431.747159240000,4645003.913008820000,4772069.726643320000,3584215.896836020000,5963011.900848860000,6629397.802618160000,9634035.374414310000,3072129.332025260000,3085592.182801560000,3140379.863095930000,3718026.418747720000,7063513.218714810000,7739774.641653860000,4733707.701855170000,1261942.257974520000,976156.282247270000,979366.554784612000,498076.895983779000,,0.000000000000,0.000000000000,0.000000000000,0.000000000000,6908.272931101510,362598.287328250000,1378924.009410450000,2938378.839928290000,1631416.318087610000,1112515.834928700000,1354684.461594060000,1951706.965966510000,1419287.719884160000,2689941.743350680000,9681904.543238270000,17457829.644276200000,1566876.241351560000,1489636.274913130000,985719.734059034000,1210562.350442540000,1777918.916674790000,1159213.538824950000,455352.370904883000,329706.711508736000,288979.517360262000,118198.651446188000,216813.968625438000,,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,12022.692325058400,23787.564734392700,55113.633330339000,26192.909502024800,57853.280276262400,38247.258180253600,69705.952431783800,92291.318636340600,150272.694324957000,225253.138622620000,647671.727676619000,70344.746985565000,194989.720496421000,95583.072467451800,42552.201282321000,108607.203008196000,67262.510939679500,40626.182773207400,32624.817398131400,9650.202116992310,13155.725557292500,1253381.239669400000,,0.000000000000,0.000000000000,0.000000000000,0.000000000000,5691.408864126340,233920.206968443000,1068905.363549510000,3204961.545858370000,2545560.178091490000,1373984.998882500000,1327662.401154910000,1065384.010626320000,1054031.827345180000,1327880.566648370000,3633706.455998330000,6000064.783610150000,2435029.113586440000,3701708.507155350000,2131189.479459300000,2147749.542075330000,4277975.796833390000,3622284.401419910000,1360161.354752090000,1067128.274358430000,535006.606513860000,352310.697074162000,256293.163210027000,,0.000000000000,0.000000000000,0.000000000000,0.000000000000,17591.871870557000,1485568.504520330000,5003876.286010020000,10252619.951805700000,9733922.041308070000,7872785.861246690000,7365598.033938040000,7858866.655667930000,6149826.762701700000,10131106.905172900000,20170261.940477400000,33739601.529977200000,7144379.433948820000,8471926.685366460000,6352872.149081720000,7118890.512547910000,13228015.135231200000,12588535.092838400000,6589847.610285350000,2691402.061239820000,1809792.608238380000,1463031.628862250000,2224565.267488640000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,3961721.494200930000,4091496.191476790000,3934415.164497620000,11317748.392408100000,18201525.014650000000,11259956.850816300000,8160130.385085700000,13652936.077714800000,14230266.886744900000,14998746.664106000000,7257818.614076280000,11818212.305295000000,14939519.357608500000,16728000.635266000000,13231401.399440400000,15338119.414878200000,9344498.049986880000,11465289.872162000000,17996792.292357400000,13730580.594570300000,19122152.241044000000,20734785.566744700000,23142131.214671500000,14529862.942512200000,14890519.559704100000,19736365.136637700000,12103907.132528900000,,2772604.105196080000,2804636.203841700000,3254753.690970190000,4633099.049452190000,4234771.306765230000,3865556.741695810000,3780035.468582870000,4265146.836528570000,2450990.392577120000,3344964.277018950000,2233398.706952360000,3109499.233912740000,3124163.822427930000,3698669.897107180000,4709832.220925220000,2761753.228351180000,2029387.902955340000,2909581.963865420000,2771326.793297120000,4110686.542509910000,5030415.133909250000,4084416.453203520000,4066216.785799750000,3715408.499975290000,2342798.230027840000,2869003.630557480000,4832864.043534890000,,1181936.089556040000,518514.190317195000,369792.803336707000,214230.076270637000,401052.906375285000,414031.466944200000,357513.105272784000,446242.644061777000,463614.498185838000,473845.914643673000,663392.098781640000,799068.235193619000,27687.395590902200,74515.385615681300,0.000000000000,0.000000000000,0.000000000000,0.000000000000,350073.002912042000,236873.920471587000,583986.271912920000,528256.793233580000,257766.125181730000,429560.095742063000,270205.659275785000,555829.404795606000,292514.716471642000,,5613156.841211760000,4367990.978657300000,4373537.914001730000,13742269.758445200000,10957874.379062700000,8495667.890634620000,10290035.797454400000,15120192.964495100000,8770563.990813010000,7891911.165232620000,6135146.943118950000,9477534.159897970000,11391072.534094700000,15883819.771755700000,14553271.034429900000,11146867.706918700000,6864621.323625930000,19279731.808100800000,18763255.829466400000,20514166.582028300000,26007251.384808100000,15889418.844191500000,16663834.739640400000,26907178.634656300000,13556108.417499600000,12193845.347114800000,12007060.238278300000,,13529418.530164800000,11782637.564293000000,11932499.572806200000,29907347.276576200000,33795223.606853200000,24035212.950090900000,22587714.756395700000,33484518.522800200000,25915435.768320900000,26709468.021001300000,16289756.362929200000,25204313.934299300000,29482443.109722100000,36385005.689744500000,32494504.654795500000,29246740.350148100000,18238507.276568100000,33654603.644128200000,39881447.918033000000,38592307.639580100000,50743805.031674300000,41236877.657373400000,44129948.865293400000,45582010.172885800000,31059631.866507300000,35355043.519105600000,29236346.130813800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FSM,0.000000000000,0.000000000000,3819.820548055940,6950.510783464540,7488.285112993680,0.000000000000,1884.121538925350,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,34361.951813324700,29427.156083148300,36525.607727923700,95421.480230809400,7535.885524182970,163913.098247613000,144940.609065966000,73362.794371502000,211607.358029009000,1376932.504757040000,154360.033756147000,192796.733857219000,446715.586791124000,450650.552382774000,76627.214766735200,,1449595.018022170000,3431787.383266990000,4677239.279578430000,6655142.025569680000,4371193.579323380000,3495764.415859800000,3092973.399561550000,2401319.186640430000,714245.800533250000,354176.644638154000,1547239.623467060000,4808884.044609530000,6260367.471047820000,5928312.944323410000,9101266.905119280000,7721471.482343190000,2123962.232506070000,6917471.048550630000,8464226.754790350000,7474498.722332540000,12850711.783084400000,22338750.677918600000,12278209.342701500000,15408549.413237700000,11125336.661387900000,12593939.322277000000,8361220.322592150000,,1150297.264979010000,1959824.707846410000,738933.414780405000,669468.988345742000,914778.829669362000,1067765.362119250000,2364763.788301390000,728033.317702381000,4575028.193020330000,2783385.595513510000,3907814.689244530000,5199043.964302310000,4320387.353663690000,6630627.396702040000,9432054.931429260000,17859653.719396400000,16808256.603256800000,17835059.768072600000,5896280.782835930000,39250150.462812900000,39983474.720574600000,61340128.878893100000,32007828.413870400000,69719234.779806800000,27305936.190181000000,76199606.893532600000,37108594.213238800000,,2690207.492139020000,3377523.616722140000,2132250.924244670000,3385241.561937650000,2235310.619372180000,1293396.659032740000,1808512.815415730000,993986.610956947000,1957404.891202490000,1063292.217157240000,1528925.832732010000,2753792.598642650000,3132489.792351270000,3205763.684509190000,9071212.514641000000,6333583.989517400000,3526315.730196200000,7987099.241708670000,6860673.059549700000,11214822.600219400000,15769299.806608100000,28473101.067118500000,26813302.371209200000,30031303.262430000000,18791290.968299000000,30323717.656361400000,11124636.272170300000,,5290099.775140200000,8769135.707835540000,7552243.439151560000,10716803.086636500000,7528771.313477910000,5856926.437011790000,7268134.124817590000,4123339.115299760000,7246678.884756070000,4200854.457308910000,6983980.145443600000,12761720.607554500000,13747606.568876100000,15794131.181617800000,27641059.958917500000,32010130.671487800000,22466070.451483200000,32903543.156579500000,21366121.206242000000,58012834.579736300000,68815093.668296100000,113528913.128687000000,71253700.161537300000,115351884.189332000000,57669279.406659000000,119567914.424554000000,56671078.022768000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiribati,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,176562.936498890000,21306.604507955500,162569.929282120000,7535.885524182970,2875.668390309000,166077.781221419000,1191411.780593190000,616939.762140914000,191895.239049269000,3843169.045569700000,4774348.209336940000,1687592.216766470000,5578131.246816700000,4045278.379560560000,,143504.668617224000,74499.165275459100,0.000000000000,7658.014957772210,21273.926271380500,10519.855784426100,6996.342568939020,6222.506988909240,0.000000000000,2754.918108393450,17145.322632527500,27202.322900208300,484529.422840788000,1006432.383276720000,4236727.129548460000,6848977.228088310000,5697836.171259090000,4738427.340612380000,4732753.605759420000,10581827.316744700000,8273442.497036890000,11536218.596087500000,15217798.800373000000,15022737.514226500000,13608329.463712500000,34374777.290733700000,47936363.229572100000,,819219.564940847000,967495.826377295000,1819615.381498080000,3133114.865458070000,899020.365764636000,2379741.662091260000,678645.229187085000,1030269.371449400000,820711.164396776000,1020238.006141710000,11839504.713246100000,14123106.020751900000,15249986.763172300000,16681510.993163900000,27512821.789824000000,68909308.620809400000,39602023.589726400000,62385155.612454800000,93991614.310868700000,91592194.853486600000,124474537.323098000000,142888540.922542000000,183662566.900545000000,138652755.207275000000,126230158.091469000000,141805565.782055000000,204336598.395381000000,,3822282.634730540000,2871042.900388700000,869107.748037535000,3378686.296583500000,505734.587779824000,2259755.290512930000,1268227.534227420000,1241718.868934150000,1421304.431080760000,1602895.174425100000,8042037.241171290000,8201284.933670850000,7075796.218036900000,9022534.403072760000,14104612.541233800000,21295674.173997300000,11307696.767487300000,23564436.232288600000,16658909.805463900000,23875965.943398200000,37188863.716129500000,30678710.699003800000,43760138.205432100000,44458933.785303300000,39466089.273012700000,46842916.359564500000,67177335.203475900000,,4785006.868288610000,3913037.892041460000,2688723.129535620000,6519459.176999340000,1426028.879815840000,4650016.808388610000,1953869.105983450000,2278210.747372460000,2242015.595477530000,2625888.098675200000,19898687.277049900000,22351593.277323000000,22810312.404050000000,26887040.716012200000,45875468.065114200000,97216529.952177100000,56615092.413997000000,90690894.853746100000,115549355.503313000000,127241399.894223000000,170553783.298405000000,185295365.456682000000,246483672.951920000000,202908774.716142000000,180992169.044961000000,228601390.679170000000,323495575.207990000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshall Islands,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,37320.670437773600,23789.043563070900,37452.744105825100,9131.401931980930,49477.804564123400,17583.732889760300,0.000000000000,0.000000000000,73362.794371502000,140078.110244555000,111097.243660103000,387879.059182112000,28043.161288322700,178686.234716449000,532264.431948158000,303316.058451660000,,0.000000000000,0.000000000000,0.000000000000,13924.954957591400,221406.417861405000,103695.721303629000,125234.531984008000,429737.410063556000,361462.151127942000,107441.806227344000,403121.566964761000,3614042.217143850000,3317915.358227580000,2609450.596132060000,2772336.452950030000,5490882.619739170000,2773008.591684360000,1317263.889575820000,124257.994207687000,6605990.368882860000,11057612.979772300000,10842525.735061900000,11305705.655486900000,7553322.152435280000,10881242.694004800000,14287328.710495300000,17031205.063472100000,,0.000000000000,0.000000000000,0.000000000000,125324.594618323000,3250183.180349800000,1462259.954035230000,839561.108272683000,3317485.154658470000,2661199.605405720000,1106558.773538030000,5210859.209316620000,3106165.246167540000,3575134.955675240000,3902122.360074510000,9158052.979224130000,21923476.324426200000,21457216.793744000000,16150926.330303500000,3959528.776964190000,10074942.856944200000,11029862.666160200000,8393048.926034150000,1902426.076069510000,10756674.169642200000,17175981.167943900000,23344835.001415500000,14774652.406513100000,,0.000000000000,0.000000000000,0.000000000000,42288.173361177900,851436.932108241000,458392.165819012000,502869.630887464000,1191653.890009070000,903543.531187051000,332676.356956153000,1454739.810927090000,2832470.360278540000,1503491.189129100000,1970514.730841380000,2027237.075721550000,4105416.687903960000,4682879.555289450000,3562947.303511900000,1070490.186308860000,5721768.136477720000,11000106.340915700000,7984013.007053490000,8823819.913246780000,7711111.251949810000,9452511.988473520000,11057399.056929900000,6594088.589592970000,,0.000000000000,0.000000000000,0.000000000000,181537.722937092000,4323026.530319450000,2024347.841157870000,1467665.271144160000,4938876.454731100000,3926205.287720710000,1546676.936721530000,7068720.587208470000,9589998.494027700000,8420330.546594990000,8519540.431153770000,13966757.909827700000,31569253.436633500000,28930688.673607500000,21031137.523391200000,5154276.957480740000,22476064.156676300000,33227660.097092800000,27330684.911809700000,22419830.703985300000,26049150.735315600000,37688422.085138600000,49221827.200788800000,38703262.118029800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nauru,0.000000000000,0.000000000000,0.000000000000,4633.673855643030,4992.190075329120,3579.703338361560,3768.243077850710,4345.301106847500,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,,0.000000000000,0.000000000000,0.000000000000,7658.014957772210,41449.637586609100,19424.908249727700,68603.184547783400,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,135887.576862108000,1404226.515511240000,2924011.241448670000,2060515.515410930000,1501575.544554430000,,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,1399.268513787800,0.000000000000,0.000000000000,0.000000000000,0.000000000000,1700.145181263020,1153.641482954260,0.000000000000,8404.967859052980,6349.722820359010,6206.889439902790,4333.104899920460,3584.365217529440,4255.220128232100,5341.337852862080,41013.726182731400,2713548.828679400000,21817846.635000400000,34522908.773388800000,29906253.123115100000,32316671.312494300000,,0.000000000000,0.000000000000,0.000000000000,51571.626448771200,28457.044320631700,11139.057474687800,36439.955575551500,6346.458506650230,0.000000000000,0.000000000000,0.000000000000,3762.920364152720,9608.258685986090,6189.501154109990,12899.927110979100,19383.672041163500,37054.072548290400,29129.870647005800,21093.402685888800,25719.483507693000,33015.506471563000,21497.483908795600,1185407.652565690000,8192888.090546800000,16708552.769403200000,8015747.672903810000,6679097.197752980000,,0.000000000000,0.000000000000,0.000000000000,63863.315262186500,74898.871982569900,34143.669062777000,110210.651714973000,10691.759613497700,0.000000000000,0.000000000000,0.000000000000,5463.065545415740,10761.900168940300,6189.501154109990,21304.894970032100,25733.394861522500,43260.961988193200,33462.975546926300,24677.767903418300,29974.703635925100,38356.844324425100,62511.210091527000,4034844.058107210000,31414961.241058400000,54155472.784240700000,39982516.311429800000,40497344.054801700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
